Horse,Plc,Date,Track,Days,Time,Distance,Mgn,Class,Cond,Bar,In Run,Jockey,Wgt,Price,Placing
Boomshanka,6/9,2025-08-09,Eagle Farm,14,58.4,1000,4.1,3Y HCP,S,4,"1,1,6",Ben E Thompson,54.5,$3.40,"1. Foreign Press
2. Calypso Rocket
3. Impervious"
Boomshanka,5/9,2025-07-26,Doomben,133,64.9,1110,1.3,2Y HCP,S,8,"1,1,5",Angela Jones,56,$2.30,"1. Destinys Summit
2. Australasia
3. Mishani Extreme"
Boomshanka,5/16,2025-03-15,Gold Coast,42,70.3,1200,3.1,N/A,G,12,"2,2,5",Angela Jones,55,$6.50,"1. Grafterburners
2. Pink Vixen
3. Betterlucknexttime"
Boomshanka,2/6,2025-02-01,Doomben,N/A,71.3,1200,0.25,N/A,G,3,"2,2,2",James Orman,56.5,$1.60,"1. Idyllic Affair
3. Making News"
Crypto Miss,3/11,2025-08-13,Eagle Farm,13,57.7,1000,1.3,3Y MDN-SW,S,1,"3,3,3",Kyle Wilson Taylor,56,$10.00,"1. Miss Funny Honey
2. Shadwell Lane"
Crypto Miss,4/10,2025-07-31,Ipswich,N/A,65.4,1100,1.3,2Y MDN-SW,S,10,"3,4,4",Kyle Wilson Taylor,56,$20.00,"1. Saxobushi
2. Whispering Rogue
3. Sharpoy"
I'lltellyoutonight,2/12,2025-08-16,Beaudesert,24,64.5,1100,0.8,3Y MDN HCP,G,8,"6,6,2",Georgina Cartwright,56.5,$4.00,"1. Anabia
3. Vostokova"
I'lltellyoutonight,7/9,2025-07-23,Eagle Farm,15,56.9,1000,10.7,MDN-SW,G,2,"7,7,7",Georgina Cartwright,54.5,$71.00,"1. Yoyo Yeezy
2. Cryptic Beauty
3. Equine Art"
I'lltellyoutonight,6/10,2025-07-08,Beaudesert,23,70.9,1200,3.5,2Y HCP,G,10,"6,6,6",Jett Newman,52,$10.00,"1. Destinys Summit
2. Mishani Extreme
3. Mishani Glaze"
I'lltellyoutonight,8/14,2025-06-15,Sunshine Coast,N/A,58.7,1000,6.4,2Y MDN HCP,S,9,"1,1,8",Cejay Graham,56,$34.00,"1. Jaggery
2. Special Artist
3. Varejao"
Norty Forty,2/11,2025-08-09,Toowoomba,N/A,68.4,1100,1,3Y MDN-SW,S,2,"7,8,2",Montanna Savva,56,$67.00,"1. Einstag
3. Kelpum's Keeper"
Ode To Beauty,4/9,2025-07-26,Doomben,14,64.9,1110,1,2Y HCP,S,5,"6,5,4",Jake Bayliss,54,$34.00,"1. Destinys Summit
2. Australasia
3. Mishani Extreme"
Ode To Beauty,4/13,2025-07-12,Gold Coast,N/A,70.4,1200,5.5,2Y MDN-SW,S,7,"2,2,4",Kirk Matheson,56,$18.00,"1. Wannabe Brutal
2. Statement Of Truth
3. Voodoo Lass"
Pearls In June,3/12,2025-07-30,Doomben,N/A,71.1,1200,3.8,2Y MDN-SW,S,12,"9,10,3",Luke P Dempsey,56,$101.00,"1. Anders' Style
2. Quickzou"
Ready For Zion,9/11,2025-08-13,Eagle Farm,42,57.7,1000,4,3Y MDN-SW,S,5,"1,1,9",Siobhan Rutledge,56,$26.00,"1. Miss Funny Honey
2. Shadwell Lane
3. Crypto Miss"
Ready For Zion,5/10,2025-07-02,Eagle Farm,112,59.8,1000,2.1,2Y MDN-SW,S,3,"2,2,5",Tahlia Fenlon,54,$7.00,"1. Special Artist
2. Spanish Treasure
3. Varejao"
Ready For Zion,2/10,2025-03-12,Eagle Farm,18,72,1200,0.66,N/A,S,1,"3,5,2",Tahlia Fenlon,54,$3.60,"1. Ha'penny Hatch
3. Estee Emm"
Ready For Zion,6/9,2025-02-22,Doomben,N/A,64.8,1110,4.27,N/A,G,3,"5,5,6",Tahlia Fenlon,55,$41.00,"1. Sunrays
2. Vivika
3. Impervious"
Shadwell Lane,2/11,2025-08-13,Eagle Farm,N/A,57.7,1000,0.2,3Y MDN-SW,S,13,"8,8,2",Cejay Graham,56,$19.00,"1. Miss Funny Honey
3. Crypto Miss"
Rock Them Jools,3/9,2025-08-13,Sandown,21,84.4,1400,0.9,3yo+,S,8,"3,3,3",Damian Lane,59.5,$5.00,"1. Godtfred Kirk
2. Autumn Mystery"
Rock Them Jools,4/9,2025-07-23,Sandown,14,78.6,1300,1.8,3Y MDN-SW,S,8,"7,7,4",Jye Mcneil,58,$7.00,"1. Jamesjohno
2. Leaving Las Vegas
3. Mini Angel"
Rock Them Jools,5/9,2025-07-09,Sandown,161,72.8,1200,1.5,2UP MDN-SW,S,2,"1,2,5",Jye Mcneil,59.5,$4.20,"1. Double Pi
2. Ten Warriors
3. Melbourne Magic"
Rock Them Jools,2/6,2025-01-29,Sandown,14,84.6,1400,0.4,Maiden,G,5,"3,2,2",Mark Zahra,58,$2.90,"1. New Kingdom
3. Ultra Blue"
Rock Them Jools,4/10,2025-01-15,Geelong,N/A,73,1212,1.3,3Y MDN-SW,G,4,"7,8,4",Damian Lane,58,$3.90,"1. Arezzo
2. Pula
3. Taung"
Antiquus,13/13,2025-05-03,Caulfield,23,122.5,2000,19.6,3Y HCP,G,2,"5,8,13",Jett Stanley,54,$151.00,"1. Rogan
2. Stylish Secret
3. The Muffin Man"
Antiquus,4/8,2025-04-10,Pakenham,19,100.1,1600,3,Maiden,G,1,"4,5,4",Ben Allen,57,$7.50,"1. I Only Wish
2. Diggers Aim
3. Amanoah"
Antiquus,2/13,2025-03-22,Benalla,N/A,84.6,1406,0.2,3UP MDN-SW,S,13,"13,13,2",Jake Noonan,57,$15.00,"1. Whirlwind
3. Vaafee"
Fastobullet,3/10,2025-07-25,Geelong,N/A,67.1,1150,3,2Y MDN-SW,S,3,"6,7,3",Joe Bowditch,58,$19.00,"1. Redders
2. Lapland"
Kakkoii,3/5,2025-05-03,Caulfield,N/A,84.3,1400,3.3,2Y HCP,G,2,"1,1,3",Blake Shinn,55,$3.60,"1. Kaleo
2. Prestige Ole"
Heavenly Conquest,3/6,2025-08-07,Ballarat Synthetic,152,58.9,1000,1.1,MDN-SW,G,3,"4,4,3",Declan Bates,55,$2.40,"1. Immerse
2. French Lolly"
