Race Time,Race Name,Horse Number,Horse Name,Barrier,Jockey,Trainer,Form,Age/Sex,Win Odds,Place Odds,Status
21:33  Doomben,Gallopers Sports Club Mdn Plate,1,Boomshanka,8,Ben E Thompson 58kg,T J Gollan,25X56,3yo F,1.40,1.50,Active
21:33  Doomben,Gallopers Sports Club Mdn Plate,2,Crypto Miss,9,Angela Jones 58kg,R G Lipp,43,3yo F,3.00,3.00,Active
21:33  Doomben,Gallopers Sports Club Mdn Plate,3,I'lltellyoutonight,10,Georgina Cartwright 58kg,Ms O Cairns,8672,3yo F,7.00,6.00,Active
21:33  Doomben,Gallopers Sports Club Mdn Plate,7,Norty Forty,2,Emily Lang (a1.5) 58kg,K R Kemp,2,3yo F,3.00,3.10,Active
21:33  Doomben,Gallopers Sports Club Mdn Plate,8,Ode To Beauty,3,Jake Bayliss 58kg,Ms H Page,44,3yo F,3.20,9.50,Active
21:33  Doomben,Gallopers Sports Club Mdn Plate,9,Pearls In June,5,Luke P Dempsey 58kg,B J Smith,3,3yo F,2.80,1.80,Active
21:33  Doomben,Gallopers Sports Club Mdn Plate,10,Ready For Zion,7,Justin Huxtable 58kg,Chris & Corey Munce,62X59,3yo F,4.60,2.50,Active
21:33  Doomben,Gallopers Sports Club Mdn Plate,11,Shadwell Lane,4,Cejay Graham 58kg,J W Mason,2,3yo F,1.60,1.80,Active
22:08  Doomben,Become A Brc Member Mdn Plate,4,Guardsman,8,Ben E Thompson 58kg,Michael Freedman,8X4,3yo C,1.65,1.10,Active
22:08  Doomben,Become A Brc Member Mdn Plate,5,Kohler Kid,6,Angela Jones 58kg,M J Lakey,2,3yo G,1.75,2.10,Active
22:08  Doomben,Become A Brc Member Mdn Plate,11,Ta La Masca,5,Tiffani Brooker 58kg,Natalie Mccall,7X,3yo G,4.60,2.60,Active
22:08  Doomben,Become A Brc Member Mdn Plate,13,Wootten Hyde,4,Jag Guthmann-Chester 58kg,J W Mason,4,3yo G,1.12,5.50,Active
22:08  Doomben,Become A Brc Member Mdn Plate,14,Bodysnatcher,7,Taylor Marshall 58kg,Jason Edwards,8,3yo G,4.40,4.40,Active
22:08  Doomben,Become A Brc Member Mdn Plate,16,Seveer,1,Cody Collis (a2) 58kg,Michael Nolan,56,3yo G,3.20,1.70,Active
22:08  Doomben,Become A Brc Member Mdn Plate,17,Aspen Cowboy,2,Stacey Callow (a3) 58kg,K R Kemp,67,3yo C,18.00,9.00,Active
22:43  Doomben,Sky Racing Mdn Hcp,2,Puff 'N' Harry,8,Martin Harley 59.5kg,B J Lockwood,53X,4yo G,2.70,5.00,Active
22:43  Doomben,Sky Racing Mdn Hcp,3,Aspire To Win,5,Corey Sutherland (a3) 58.5kg,L J Mayfield-Smith,70X,4yo G,4.40,2.50,Active
22:43  Doomben,Sky Racing Mdn Hcp,6,Some Style,4,Ben E Thompson 58.5kg,T J Gollan,554322X2,4yo M,1.20,1.70,Active
22:43  Doomben,Sky Racing Mdn Hcp,7,Whatsthetimemrwolf,13,Courtney Bellamy (a3) 58kg,B D Bellamy,704,4yo G,18.00,4.00,Active
22:43  Doomben,Sky Racing Mdn Hcp,8,Jam Packed,3,Brandon Lerena 57.5kg,Michael Morrison,53X,5yo M,91.00,5.00,Active
22:43  Doomben,Sky Racing Mdn Hcp,9,Margot's Deel,6,Cejay Graham 57.5kg,Jason Edwards,65X,4yo M,2.80,5.00,Active
22:43  Doomben,Sky Racing Mdn Hcp,11,Parisienne Piper,9,Jake Bayliss 56.5kg,B K Wakefield,0X73430X2,4yo M,4.00,20.00,Active
22:43  Doomben,Sky Racing Mdn Hcp,12,Moana Gold,7,Jag Guthmann-Chester 56kg,Matthew Hoysted,5X454,4yo M,2.25,5.00,Active
22:43  Doomben,Sky Racing Mdn Hcp,13,She Can Soar,14,Heavelon Van Der Hoven 55.5kg,K M Schweida,7X,3yo F,5.50,3.20,Active
22:43  Doomben,Sky Racing Mdn Hcp,14,Our Jewel,12,Angela Jones 54.5kg,Tony & Maddysen Sears,58X355433,4yo M,2.35,3.50,Active
22:43  Doomben,Sky Racing Mdn Hcp,15,Lady Lazarus,1,Nozi Tomizawa 54kg,P M Kalinowski,69X8985,4yo M,7.00,13.00,Active
22:43  Doomben,Sky Racing Mdn Hcp,16,What Artists Do,10,Emily Lang (a1.5) 54.5kg,T B Thomas,X6848X4346,4yo G,4.80,5.00,Active
22:43  Doomben,Sky Racing Mdn Hcp,17,Elroy,11,Taylor Marshall 54kg,K C Anderson,7770X67530,6yo G,20.00,11.00,Active
22:43  Doomben,Sky Racing Mdn Hcp,18,Magical Eye,2,Wayne O'connell 54kg,D & G Lane,6767526803,5yo M,7.00,3.30,Active
00:40 - 26 Aug 2025,Scratched,5,Man Of The Town,16,Georgina Cartwright 58.5kg,L J Gough,,,,,Scratched
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),1,Adranos,1,Ryan Maloney 60kg,T J Gollan,3413X3,5yo G,1.38,1.90,Active
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),2,Chamierro,10,Martin Harley 60kg,Chris & Corey Munce,8X4123X5,4yo G,2.30,2.20,Active
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),3,Gone Bananas,3,Justin Huxtable 60kg,Chris & Corey Munce,71X95357X,4yo G,5.00,3.70,Active
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),4,Grammar Lad,7,Cejay Graham 60kg,K M Schweida,1X4X85,4yo G,4.00,4.00,Active
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),5,Mercian,4,Georgina Cartwright 60kg,L J Gough,20X12374X4,5yo G,2.00,3.80,Active
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),6,Minor Key,9,Dan Mc Gillivray 60kg,Jason Edwards,105,4yo G,5.00,1.40,Active
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),8,Our Drummer,6,Karl Zechner 60kg,T B Thomas,0040225666,6yo G,19.00,26.00,Active
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),9,Ready To Ignite,5,Luke P Dempsey 60kg,S A Dwyer,147900X5,4yo G,6.00,9.00,Active
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),10,Rocky Reward,8,Corey Sutherland (a3) 60kg,L F Birchley,62193X,4yo G,4.40,3.80,Active
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),12,Winchman,11,Ben E Thompson 60kg,P L Shailer,926222X212,5yo G,2.00,1.04,Active
23:18  Doomben,Trackside With Ricky Ponting Plate (C1),13,Frostfire,2,Jag Guthmann-Chester 57.5kg,Michael Freedman,135X3,3yo G,1.65,3.00,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),1,Ace's In Bloom,2,Dan Mc Gillivray 60kg,Dan Morgan,8X183333X9,5yo M,4.80,8.00,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),2,Cafe Mocha,10,Nozi Tomizawa 60kg,Ms L Paton,7432X04704,6yo M,61.00,14.00,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),3,Dashing Hope,12,Jag Guthmann-Chester 60kg,T B Thomas,4510042327,5yo M,7.50,6.50,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),4,Deep Tiara,7,Cody Collis (a2) 60kg,K M Schweida,40X2X419,5yo M,4.60,8.00,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),5,Divine Source,8,Justin Huxtable 60kg,Chris & Corey Munce,52X142,4yo M,2.15,2.10,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),6,Elizabass,6,Emily Lang (a1.5) 60kg,H R Richardson,6X457513X,4yo M,2.60,4.00,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),7,Every Heart,4,Cejay Graham 60kg,Michael Freedman,4X6X41223X,4yo M,1.95,2.80,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),8,Funky Me,11,Martin Harley 60kg,Darren Bell,01840X5,7yo M,21.00,5.00,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),9,Rag Queen,9,Ryan Maloney 60kg,J P Wallace,07479X070X,4yo M,2.05,1.50,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),11,Vos Savant,5,Luke P Dempsey 60kg,B J Lockwood,X795X3X55X,5yo M,2.50,2.90,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),12,Miss Funny Honey,3,Jake Bayliss 57.5kg,S W Kendrick,1,3yo F,1.40,1.40,Active
23:53  Doomben,Country Music Raceday 6 September Plate (C1),14,Bun In The Oven,1,Wayne O'connell 60kg,Wayne O'connell,5053786058,6yo M,14.00,4.40,Active
00:28  Doomben,Spring Carnival Book Now (Bm68),2,June,2,Cody Collis (a2) 60kg,Tony & Maddysen Sears,8669X22212,5yo G,2.80,2.60,Active
00:28  Doomben,Spring Carnival Book Now (Bm68),3,Tarex,5,Corey Sutherland (a3) 59.5kg,L J Mayfield-Smith,3465361014,7yo G,6.00,2.50,Active
00:28  Doomben,Spring Carnival Book Now (Bm68),4,Nagamie,9,Luke P Dempsey 59kg,S B Laming,2185X23221,6yo G,3.20,6.00,Active
00:28  Doomben,Spring Carnival Book Now (Bm68),5,Punjabi Landing,4,Andrew Mallyon 58.5kg,P L Shailer,1X6183X677,5yo G,5.50,2.80,Active
00:28  Doomben,Spring Carnival Book Now (Bm68),6,Cosmic Lad,10,Angela Jones 58kg,Joseph Pride,44275X1652,5yo G,2.25,3.00,Active
