Greyhound,Plc,Date,Track,Days,Distance,Mgn,Class,Box,In Run,Price,Time,Placing
Chorus Line,4/7,2025-08-22,Sale,14,435,6.23,M,1,"3,2,2",$6.00,24.8,"1. Lakeview Liam
2. Amron Lucy
3. Velvet Lass"
Chorus Line,4/7,2025-08-08,Warragul,N/A,400,7.19,M,1,"4,3",$3.50,22.9,"1. Dr. Douglas
2. Rumour I'm Broke
3. It's Friday"
Green Shoots,3/8,2025-08-20,Sale,33,435,2.97,T3-M,3,"6,4,4",$4.40,24.8,"1. Lucky Harper
2. Riverbank Sandy"
Green Shoots,6/8,2025-07-18,Geelong,7,400,5.63,M,8,"8,6",$26.00,22.8,"1. Karen Stratus
2. Canya Speed
3. Paw Amaran"
Green Shoots,3/8,2025-07-11,Geelong,11,400,6.97,M,1,"3,3",$5.00,22.4,"1. Flying Intention
2. Flying Stratus"
Green Shoots,4/8,2025-06-30,Ballarat,4,390,4.56,T3-M,8,"6,5",$3.00,22.6,"1. Paw Bastow
2. Paw Yazmin
3. Wow His Norm"
Green Shoots,2/8,2025-06-26,Shepparton,7,390,0.75,M,5,"2,2",$5.00,22.3,"1. Powder Dry
3. Kraken Bing"
Green Shoots,2/7,2025-06-19,Shepparton,3,390,0.2,MAIDEN,3,N/A,$8.50,N/A,"1. Magic Boom
3. Berringa Black"
Green Shoots,4/7,2025-06-16,Ballarat,7,390,11.57,T3-M,2,"3,6",$3.00,22.7,"1. Red Hot Pretty
2. Literally
3. Irena Bella"
Green Shoots,6/8,2025-06-09,Shepparton,7,390,11.81,MAIDEN,6,N/A,$15.00,N/A,"1. Give A Little
2. Powder Dry
3. Unique Star"
Green Shoots,3/8,2025-06-02,Shepparton,4,390,7.29,T3-M,2,"4,4",$6.00,21.9,"1. Moyarra Kongk
2. Powder Dry"
Green Shoots,2/8,2025-05-29,Shepparton,7,390,3.66,M,1,"4,2",$4.50,22.3,"1. Golf Trip
3. Aston Lewis"
Green Shoots,3/8,2025-05-22,Shepparton,7,390,5.97,M,1,"5,4",$6.00,22.3,"1. Boy
2. Give A Little"
Green Shoots,4/8,2025-05-15,Shepparton,7,390,2.36,T3-M,2,"3,1",$5.50,22.9,"1. Grovedale Bug
2. Present Gift
3. Aston Lewis"
Green Shoots,3/8,2025-05-08,Shepparton,8,390,8.57,M,6,"5,4",$5.00,22.7,"1. Topper Snowdrift
2. Hit The Button"
Green Shoots,6/8,2025-04-30,Bendigo,5,425,2.63,M,8,"5,1,2",$2.10,25.5,"1. Mr. Sin Rap
2. Be Frank
3. Barellen Moon"
Green Shoots,4/8,2025-04-25,Shepparton,11,390,4.01,M,1,"5,4",$41.00,22.4,"1. Dashing Nando
2. Aston Ardbeg
3. Moyarra Kongk"
Green Shoots,5/8,2025-04-14,Shepparton,12,390,12.76,M,7,"7,6",$26.00,22.7,"1. Uncle Ernest
2. Simply Ned
3. Black Hawk"
Green Shoots,7/8,2025-04-02,Bendigo,N/A,425,20.19,M,6,"8,8,7",$14.00,24.1,"1. Aston Yamato
2. Olympia Onyx
3. Hollywood Icon"
Dundee Sterling,6/7,2025-08-22,Sale,5,435,11.94,M,8,"6,7,6",$16.00,24.8,"1. Lakeview Liam
2. Amron Lucy
3. Velvet Lass"
Dundee Sterling,6/8,2025-08-17,Sale,7,510,15.11,MF,3,"6,6,6",$29.00,29,"1. Dr. Leviate
2. Sweet Trilby
3. Dr. Smokey"
Dundee Sterling,4/8,2025-08-10,Sale,N/A,510,6.2,MH,8,"3,4,4",$15.00,29.2,"1. Dr. Leviate
2. Dr. Charlotte
3. Amron Lucy"
Evelyn Annie,6/8,2025-08-21,Warragul,15,460,7.07,M,5,"6,6,6",$2.25,26.6,"1. Eyewitness
2. Darnum Rocket
3. Greysynd Cruiser"
Evelyn Annie,3/8,2025-08-06,Sale,7,435,2.81,T3-M,8,"7,5,4",$1.95,25.2,"1. Monty's Return
2. Dr. Maverick"
Evelyn Annie,4/8,2025-07-30,Sale,5,435,1.86,M,3,"5,5,4",$2.40,25,"1. Ebb And Flow
2. Smooth Beauty
3. Be Courageous"
Evelyn Annie,5/8,2025-07-25,Warragul,7,400,9.16,M,6,"6,5",$13.00,22.6,"1. Aston Renminbi
2. Missy Who
3. It's Friday"
Evelyn Annie,3/6,2025-07-18,Warragul,N/A,400,3.29,M,7,"5,5",$7.50,23.3,"1. Zonda
2. Herbie"
Dr. Rafaela,7/8,2025-08-24,Sale,14,510,12.25,M,4,"7,7,7",$41.00,29.1,"1. Sweet Trilby
2. Dr. Smokey
3. Dr. Warren"
Dr. Rafaela,6/8,2025-08-10,Sale,18,510,9.04,MH,1,"6,5,5",$51.00,29.2,"1. Dr. Leviate
2. Dr. Charlotte
3. Amron Lucy"
Dr. Rafaela,8/8,2025-07-23,Sale,10,435,11.07,T3-M,4,"8,8,8",$51.00,25.1,"1. Dr. Fallon
2. Dr. Axel
3. Classy Dancer"
Dr. Rafaela,6/7,2025-07-13,Sale,4,435,19.23,M,1,"6,6,6",$12.00,24.9,"1. Mad Hatter Rose
2. Sweet Trilby
3. Dr. Louis"
Dr. Rafaela,2/8,2025-07-09,Sale,3,435,0.9,M,1,"7,5,3",$11.00,25.2,"1. Sub Station
3. Dr. Cougar"
Dr. Rafaela,7/8,2025-07-06,Sale,5,435,20.46,M,1,"8,7,7",$11.00,24.8,"1. Dr. Zaid
2. Dr. Goji
3. Mad Hatter Rose"
Dr. Rafaela,7/8,2025-07-01,Warragul,N/A,400,11.25,M,3,"8,8",$19.00,23.3,"1. Savvy Lad
2. Lenora James
3. Ultimate Beast"
Collinda Flick,6/8,2025-08-22,Sale,7,435,17.75,M,4,"8,6,6",$29.00,24.5,"1. Oddly Cool
2. Dundee Aero
3. Tattletales"
Collinda Flick,7/8,2025-08-15,Warragul,N/A,400,12.66,M,4,"7,7",$3.40,23,"1. Found Treasure
2. Lady Belmont
3. Magic Margo"
Awesome Bindi,7/8,2025-07-31,Warragul,7,400,13.69,T3-M,8,"5,7",$51.00,23,"1. Herbie
2. Audacious Chief
3. Waltzing Aurora"
Awesome Bindi,8/8,2025-07-24,Warragul,8,400,21.2,M,4,"5,8",$21.00,23.1,"1. West On Beattie
2. Rumour I'm Broke
3. Waltzing Aurora"
Awesome Bindi,8/8,2025-07-16,Sale,35,435,24.43,T3-M,7,"2,7,8",$12.00,25.2,"1. Dr. Cougar
2. Brindle Motion
3. Dr. Axel"
Awesome Bindi,8/8,2025-06-11,Sale,6,435,11.37,M,4,"6,8,8",$4.80,25,"1. Dundee Spike
2. Brindle Motion
3. Lucky Harper"
Awesome Bindi,6/6,2025-06-05,Ballarat,4,390,12.14,SH,5,"6,6",$51.00,22.4,"1. Candy Stride
2. Fleetwood Eros
3. Special Teams"
Awesome Bindi,6/8,2025-06-01,Sale,8,435,11.09,M,1,"1,5,6",$9.50,24.9,"1. Catch A Cutie
2. Jumbuk Mahmood
3. Minh Sasha"
Awesome Bindi,7/7,2025-05-24,Geelong,10,400,20.47,M,4,"5,7",$8.50,22.5,"1. Manila Phantom
2. Volts
3. Saleena Bale"
Awesome Bindi,3/8,2025-05-14,Ballarat,7,450,7.79,MF,1,"1,1,3",$31.00,25.5,"1. Rivers Meet
2. Impactful"
Awesome Bindi,4/8,2025-05-07,Ballarat,7,450,7.33,MH,1,"1,1,2",$13.00,25.8,"1. Key Begonia
2. Ian Albert
3. Impactful"
Awesome Bindi,3/8,2025-04-30,Sale,3,435,5.9,M,2,"1,3,3",$6.00,24.9,"1. Princess Lass
2. Riverbank Sandy"
Awesome Bindi,3/8,2025-04-27,Sale,7,435,4.47,M,4,"2,2,2",$13.00,24.8,"1. Quick Response
2. Hafnium"
Awesome Bindi,4/8,2025-04-20,Sale,7,435,9.71,M,3,"1,2,3",$6.00,24.9,"1. Reel Ritza
2. Daintree Bullet
3. Skywalker Rose"
Awesome Bindi,8/8,2025-04-13,Bendigo,N/A,425,18.19,MH,4,"4,4,8",$31.00,23.7,"1. Fastened
2. Vista Vampire
3. Wave In Sea"
