Race,Dog number,Name,Form,Win,Place
20:20  Sale,2,Green Shoots,2364224363,,
20:20  Sale,3,Dundee Sterling,466,,
20:20  Sale,4,Evelyn Annie,35436,,
20:20  Sale,6,Dr. Rafaela,7726867,,
20:20  Sale,7,Collinda Flick,76,,
20:20  Sale,8,Awesome Bindi,3437668887,,
20:20  Sale,5,Dr. Yamir,576,,
20:20  Sale,5,Riverbank Sandy,,,
20:37  Sale,1,Sugar Plum Rose,2351324285,,
20:37  Sale,2,Be You,7564135343,,
20:37  Sale,3,Delusional,33241,,
20:37  Sale,4,Taylor's Girl,4425236336,,
20:37  Sale,5,Be A Cowboy,3214426434,,
20:37  Sale,6,Windorah,3431647227,,
20:37  Sale,7,Herbie,24352214,,
20:37  Sale,8,Miss Indi Bear,7127,,
20:55  Sale,1,Kaia Got Square,815451266,,
20:55  Sale,2,Jovial Gem,574484252,,
20:55  Sale,3,Collinda Blinder,66124X6247,,
20:55  Sale,4,Dr. Anne,5224448863,,
20:55  Sale,5,Aston Cleese,744511,,
20:55  Sale,6,Wrong Missy,5268454283,,
20:55  Sale,7,Dr. Cougar,321516278,,
20:55  Sale,8,Dr. Maniac,6341576518,,
21:11  Sale,1,Midnight Shimmer,7631573776,,
21:11  Sale,2,Inter Cyborg,3171467377,,
21:11  Sale,3,Poppy's Pal,1576166337,,
21:11  Sale,4,Disco Gizmo,7788524374,,
21:11  Sale,5,Somerton June,2253865436,,
21:11  Sale,6,Money Machine,7812588536,,
21:11  Sale,7,Black Pistol,2427288768,,
21:11  Sale,8,Be Rugged,3463837653,,
21:11  Sale,1,Hawkeyed Kid,681217784,,
21:11  Sale,2,Brocky Sands,4588627565,,
21:11  Sale,3,Our Tiger Norma,4247513666,,
21:11  Sale,4,Miss Daicos,2646364676,,
21:11  Sale,5,Princess Lass,2242411354,,
21:11  Sale,7,Ranger's Girl,8254632368,,
21:11  Sale,8,Ballymac Storm,4365218814,,
21:11  Sale,6,Winckie Bale,,,
21:49  Sale,1,Dignity Prevails,7641867454,,
21:49  Sale,2,Somerton Teddy,8621582545,,
21:49  Sale,3,Green Frog Cafe,X645266127,,
21:49  Sale,4,Stockman George,531653172,,
21:49  Sale,7,Hard Copy,7882765773,,
21:49  Sale,8,Yorkshire Girl,535417664,,
21:49  Sale,6,Dr. Hopper,,,
22:16  Sale,1,Aston Chant,154561213,,
22:16  Sale,2,Our Mabel,1551424571,,
22:16  Sale,3,Jack Hook,883185X515,,
22:16  Sale,4,Akina Jazz,1737123358,,
22:16  Sale,5,Kokoda Trail,6351231176,,
22:16  Sale,6,Holly Rose,4324834553,,
22:16  Sale,7,Sally Can Wait,6213275517,,
22:16  Sale,8,Xatu Bale,5352566431,,
22:32  Sale,1,Gin Chaser,8X88778152,,
22:32  Sale,2,Splashed,2157633156,,
22:32  Sale,3,Jairon Bale,6867533676,,
22:32  Sale,4,Steele Jakit,5524534134,,
22:32  Sale,6,Madalia Tipper,4256552587,,
22:32  Sale,7,Smooth Ranger,5758676432,,
22:32  Sale,8,Madalia Snoopy,7345657572,,
22:47  Sale,1,Dr. Angelo,2356664253,,
22:47  Sale,3,Hammer Rose,2571274541,,
22:47  Sale,4,Collinda Dougie,152775X771,,
22:47  Sale,5,Christa's Girl,2361847687,,
22:47  Sale,6,Dr. Buck,6436864333,,
22:47  Sale,7,Magical Paws,1277766751,,
22:47  Sale,8,Two Boo Hook,36456X4662,,
01:18 - 26 Aug 2025,2,Whisky Ninja,,,
23:07  Sale,1,Computer Model,1453257457,,
23:07  Sale,2,Swooping Swan,1374468173,,
23:07  Sale,3,Roman Empire,6735828154,,
23:07  Sale,4,Scooba Steve,15X1477763,,
23:07  Sale,6,Dr. Gabriella,7331818748,,
23:07  Sale,7,Codicil,3275176161,,
23:07  Sale,8,Socks And Slides,6517233556,,
23:29  Sale,1,Neena Bale,7223464366,,
23:29  Sale,2,Ace Of Pace,7852644862,,
23:29  Sale,3,Ruptured,2746173266,,
23:29  Sale,4,Irinka Ashley,7131458758,,
23:29  Sale,5,Elsie Dreaming,6628362725,,
23:29  Sale,7,Jayville Zoe,534456X342,,
23:29  Sale,8,Parumba Cha Cha,2453351883,,
23:29  Sale,6,Heyfield Honey,,,
23:50  Sale,1,Sweet Tonight,3358633565,,
23:50  Sale,2,I'm A Treasure,5536876625,,
23:50  Sale,3,Zorbas Bale,5387866666,,
23:50  Sale,4,Slow Cheetah,1784257657,,
23:50  Sale,5,Paw Ursula,5863446565,,
23:50  Sale,6,Locked And Ready,2457476765,,
23:50  Sale,7,Be A Character,575445556,,
23:50  Sale,8,Dr. Ducky,823875858,,
20:30  Capalaba,2,In Stiches,36757X7475,,
20:30  Capalaba,3,One Eye,5546848474,,
20:30  Capalaba,4,Batman Returns,8X84858845,,
20:30  Capalaba,5,Federal Master,4736726886,,
20:30  Capalaba,6,Polly's Vibe,5555663327,,
20:30  Capalaba,7,Bundy Black,8647485765,,
20:30  Capalaba,8,Brodie And Me,3766683563,,
20:47  Capalaba,1,Lucky Time,52,,
20:47  Capalaba,2,Orlando Beach,3252,,
20:47  Capalaba,3,Maywyn Leo,,,
20:47  Capalaba,5,Graphite,833,,
20:47  Capalaba,6,Blue Fifty,,,
20:47  Capalaba,8,Maywyn's Mondeo,55325,,
21:03  Capalaba,1,So Simple,2421645884,,
21:03  Capalaba,2,Cabarita Beach,14545,,
21:03  Capalaba,3,Lilly Dragon,2486475544,,
21:03  Capalaba,4,Black Harada,5748768838,,
21:03  Capalaba,5,Turbo Express,5677688878,,
21:03  Capalaba,6,Red Hot Kiwi,2256282767,,
21:03  Capalaba,7,Boom Boom Bernie,2478583678,,
21:03  Capalaba,8,Mum's Tiger,5847666478,,
